pais,regiao,casos_cumulativos_totais,casos_cumulativos_por_100mil_hab,casos_nos_ultimos_7dias,casos_nos_ultimos_7dias_por_100mil_hab,casos_nas_ultimas_24hrs,mortes_cumulativas_totais,mortes_cumulativas_totais_por_100mil_hab,mortes_nos_ultimos_7dias,mortes_nos_ultimos_7dias_por_100mil_hab,mortes_nas_ultimas_24hrs
Global,,8363.782493566277,3538858,45.40175349677726,778897,6656601,85.40081510148224,10700,0.1372755737629249,3591,
Estados Unidos da America,Americas,29917.473,501758,151.587,501758,1080010,326.284,2881,0.87,2881,
Índia,Sudeste da Ásia,3237.43,1069,0.077,163,530690,38.456,27,0.002,9,
França,Europa,58407.997,327753,503.93,47594,157364,241.952,765,1.176,119,
Alemanha,Europa,44702.796,215424,259.027,29261,160611,193.119,141,0.17,6,
Brasil,Americas,16957.348,293030,137.858,42681,692461,325.773,1012,0.476,181,
República da Coreia,Pacífico Ocidental,55656.352,471879,920.395,68168,31674,61.78,376,0.733,63,
Japão,Pacífico Ocidental,21953.32,943929,746.328,0,54365,42.984,1542,1.219,0,
Itália,Europa,41722.691,0,0.0,0,183138,307.065,0,0.0,0,
Reino Unido,Europa,35552.371,39359,57.978,3754,198937,293.046,283,0.417,0,
Federação Russa,Europa,14904.438,49390,33.844,7409,393277,269.489,386,0.265,57,
Turquia,Europa,20162.278,0,0.0,0,101419,120.252,0,0.0,0,
Espanha,Europa,28841.084,18604,39.305,0,116658,246.464,183,0.387,0,
Vietnã,Pacífico Ocidental,11838.643,1859,1.91,0,43181,44.362,2,0.002,0,
Austrália,Pacífico Ocidental,42894.689,0,0.0,0,15718,61.639,0,0.0,0,
China,Pacífico Ocidental,691.074,159232,10.823,28493,31585,2.147,472,0.032,76,
Argentina,Americas,21748.131,62261,137.758,0,130080,287.815,39,0.086,0,
Países Baixos,Europa,49168.888,3853,22.134,0,22953,131.856,10,0.057,0,
Iran (Islamic Republic of),Mediterrâneo oriental,9001.504,306,0.364,0,144672,172.243,13,0.015,0,
